būčàti	bcs	búčat	bǔːtʃat				
bъděti	bcs	bdjȅti	bdjêti		IN_WIKTIONARY		
bъ̑rz	bcs	bȓz	br̂ːz		IN_WIKTIONARY		
bьrati	bcs	brȁti	brâti		IN_WIKTIONARY		
bьčelà	bcs	pčèla	pt͡ʃěla		IN_WIKTIONARY		
cè̌sta	bcs	cȅsta	tsêsta				
cělovàti	bcs	cjelòvati	tsjelǒʋati				
cěvьnica	bcs	cjevànica	tsjeʋǎnitsa				
cě̄dìti	bcs	cijèditi	tsijěditi				
cě̄lìti	bcs	cijèliti	tsijěliti				
cě̄nà	bcs	cijèna	tsijěna				
cě̄nìti	bcs	cijeniti	t͡sijeniti	t͡sijeniti	SAME		
cě̄và	bcs	cȋva	t͡sîːʋa				
cě̑lъ	bcs	cȉo	tsîo		IN_WIKTIONARY		
cě̑vь	bcs	cȉjev	tsîjeʋ				
da	bcs	dȁ	dâ				
dajati	bcs	dajȁt	dajât				
dalèkъ	bcs	dàlek	dǎlek		IN_WIKTIONARY		
datelь	bcs	dȁtelj	dâteʎ				
davьnъ	bcs	dávan	dǎːʋan				
dàti	bcs	dȁti	dâti		IN_WIKTIONARY		
dȃnь	bcs	dan	dan	dan	SAME		
dȃrъ	bcs	dȃr	dâːr		IN_WIKTIONARY		
debelъ	bcs	dèbeo	děbeo		IN_WIKTIONARY		
deltò	bcs	dlijèto	dlijěto				
dertì	bcs	drijèti	drijěti				
desętъ	bcs	dèsētī	dêseti		IN_WIKTIONARY		
desiti	bcs	dèsiti	děsiti				
devętъ	bcs	dèvētī	dêʋeti		IN_WIKTIONARY		
dérnъ	bcs	drȉjen	drîjen				
dē̌žà	bcs	díža	dǐːʒa				
dělati	bcs	djȅlati	djêlati		IN_WIKTIONARY		
děliti	bcs	dijèliti	dijěliti				
dětę	bcs	dijète	dijěte				
děti	bcs	djȅti	djêti				
děvìca	bcs	djèvica	djěʋitsa				
dě̀dъ	bcs	djȅd	djêd		IN_WIKTIONARY		
dě̀lo	bcs	djȅlo	djêlo		IN_WIKTIONARY		
dě̀va	bcs	djéva	djěːʋa		IN_WIKTIONARY		
dě̀verь	bcs	djȅvēr	djêʋeːr				
dě́lъ	bcs	dȉjel	dîjel				
dȅsętь	bcs	dȅsēt	dêseːt				
dȅsnъ	bcs	dèsnī	děsniː				
dȅvętь	bcs	dȅvēt	dêʋeːt				
dȇrvo	bcs	drȉjevo	drîjeʋo				
dętelъ	bcs	djètao	djětao				
divьnъ	bcs	dȋvan	dîːʋan		IN_WIKTIONARY		
dȋvo	bcs	dȋvo	dîːʋo				
do	bcs	dȍ	dô		IN_WIKTIONARY		
doba	bcs	dȍba	dôba				
dobrъ	bcs	dȍbar	dôbar		IN_WIKTIONARY		
dojidlica	bcs	dòjilica	dǒjilitsa				
dojìti	bcs	dòjiti	dǒjiti		IN_WIKTIONARY		
dolъ	bcs	dȏ	dôː				
domovъ	bcs	dómov	dǒːmoʋ				
dòlnь	bcs	dlȁn	dlân				
dòrga	bcs	drȁga	drâɡa		IN_WIKTIONARY		
dȍma	bcs	dȍma	dôma		IN_WIKTIONARY		
dȏmъ	bcs	dȏm	dôːm		IN_WIKTIONARY		
dȏrgъ	bcs	drȃg	drâːɡ		IN_WIKTIONARY		
dǫ̀ti	bcs	dȕti	dûti				
dǭgà	bcs	dúga	dǔːɡa		IN_WIKTIONARY		
dǫ̑bъ	bcs	dȗb	dûːb				
drě̄màti	bcs	drijèmati	drijěmati				
drobà	bcs	dróba	drǒːba				
drobìna	bcs	dróba	drǒːba				
drobìti	bcs	dròbiti	drǒbiti		IN_WIKTIONARY		
drobъ	bcs	drȏb	drôːb				
drobьnъ	bcs	drȍban	drôban				
drozdъ	bcs	drȏzd	drôːzd				
dročiti	bcs	drȍčiti	drôtʃiti				
drǫ́gъ	bcs	drȗg	drûːɡ		IN_WIKTIONARY		
drǫ́kъ	bcs	druk	druk	druk	SAME		
družìna	bcs	drùžina	drǔʒina		IN_WIKTIONARY		
drȗgъ	bcs	drȗg	drûːɡ		IN_WIKTIONARY		
drāpàti	bcs	drápati	drǎːpati				
drāžìti	bcs	drážiti	drǎːʒiti		IN_WIKTIONARY		
drъ̏vo	bcs	dȑvo	dr̂ʋo		IN_WIKTIONARY		
dunǫti	bcs	dúnuti	dǔːnuti		IN_WIKTIONARY		
duplò	bcs	dúplo	dǔːplo				
dupl̨a	bcs	dúplja	dǔːpʎa				
durьnъ	bcs	dȗran	dûːran				
dȗxъ	bcs	dȗh	dûːx				
dva	bcs	dvȃ	dʋâː		IN_WIKTIONARY		
dvojь	bcs	dvȍji	dʋôji				
dvòrъ	bcs	dvȏr	dʋôːr		IN_WIKTIONARY		
dvьrь	bcs	dvari	dʋari	dʋari	SAME		
dỳmъ	bcs	dȉm	dîm		IN_WIKTIONARY		
dāvàti	bcs	dávati	dǎːʋati		IN_WIKTIONARY		
dāvìti	bcs	dáviti	dǎːʋiti		IN_WIKTIONARY		
dīvìti sę	bcs	díviti se	dǐːʋiti				
dūrìti sę	bcs	dúriti se	dǔːriti				
dūxàti	bcs	dúhati	dǔːxati		IN_WIKTIONARY		
dūšà	bcs	dúša	dǔːʃa		IN_WIKTIONARY		
dъkti	bcs	kćȋ	ktɕîː		IN_WIKTIONARY		
dъnò	bcs	dnȍ	dnô				
dъva	bcs	dvȃ	dʋâː		IN_WIKTIONARY		
dъvojь	bcs	dvȍji	dʋôji				
dъxnǫti	bcs	dàhnuti	dǎxnuti		IN_WIKTIONARY		
dъxъ	bcs	dȃh	dâːx				
dъždžь	bcs	dȃžd	dâːʒd				
dъ̑lgъ	bcs	dȗg	dûːɡ		IN_WIKTIONARY		
dьbrь	bcs	debri	debri	debri	SAME		
dьlbiti	bcs	dúbiti	dǔːbiti		IN_WIKTIONARY		
dьlgotà	bcs	dugòta	duɡǒta				
dьlti	bcs	dúpsti	dǔːpsti				
dьnьsь	bcs	dànas	dǎnas		IN_WIKTIONARY		
dьrati	bcs	dráti	drǎːti				
dьrpati	bcs	dŕpati	dřːpati				
dьrznǫti	bcs	dȑznuti	dr̂znuti		IN_WIKTIONARY		
dьrzъkъ	bcs	dȑzak	dr̂zak		IN_WIKTIONARY		
dьržati	bcs	dr̀žati	dřʒati		IN_WIKTIONARY		
dь̀lgъ	bcs	dȕg	dûɡ				
dь̑nь	bcs	dȃn	dâːn		IN_WIKTIONARY		
elьcь	bcs	jálac	jǎːlat͡s				
erębica	bcs	jerèbica	jerěbit͡sa				
esmь	bcs	jèsam	jěsam				
estь	bcs	jȅst	jêst				
eto	bcs	ȅto	êto				
ešče	bcs	jȍšt	jôʃt		IN_WIKTIONARY		
ežina	bcs	jèžina	jěʒina				
ežь	bcs	jȇž	jêːʒ		IN_WIKTIONARY		
ědro	bcs	jȅdro	jêdro		IN_WIKTIONARY		
ěrę	bcs	jȁre	jâre		IN_WIKTIONARY		
ěrina	bcs	jȁrina	jârina				
ěrostь	bcs	járōst	jǎːroːst				
ěrъ	bcs	jȁra	jâra		IN_WIKTIONARY		
ěrъka	bcs	jȁrka	jârka				
ěrь	bcs	glȍta	ɡlôta				
ěrьcь	bcs	jȁrac	jârats		IN_WIKTIONARY		
ěsti	bcs	jȅsti	jêsti		IN_WIKTIONARY		
ěxati	bcs	jȁhati	jâxati		IN_WIKTIONARY		
ězda	bcs	jezda	jezda	jezda	SAME		
ě̀snъ	bcs	jȁsan	jâsan				
ě̀to	bcs	jȁto	jâto		IN_WIKTIONARY		
ě̑dь	bcs	jȃd	jâːd				
ě̑rъ	bcs	jȃr	jâːr		IN_WIKTIONARY		
ȅsenь	bcs	jȅsēn	jêseːn		IN_WIKTIONARY		
ȇ̌dъ	bcs	ȉjed	îjed				
ędrъ	bcs	jédar	jěːdar				
ęti	bcs	jéti	jěːti				
ętry	bcs	jȇtrva	jêːtrʋa				
ęzỳkъ	bcs	jèzik	jězik		IN_WIKTIONARY		
ęčati	bcs	jéčati	jěːt͡ʃati		IN_WIKTIONARY		
ęčьmy	bcs	jȅčmēn	jêtʃmeːn				
gaditi	bcs	gȁditi	ɡâditi		IN_WIKTIONARY		
gasnǫti	bcs	gȁsnuti	ɡâsnuti		IN_WIKTIONARY		
gatati	bcs	gátati	ɡǎːtati				
gàdъ	bcs	gȁd	ɡâd				
gàziti	bcs	gȁziti	ɡâziti		IN_WIKTIONARY		
glabati	bcs	glȁbati	ɡlâbati				
glàdъkъ	bcs	glȁdak	ɡlâdak		IN_WIKTIONARY		
glę̀dati	bcs	glȅdati	ɡlêdati		IN_WIKTIONARY		
glìna	bcs	gnjȉla	ɡɲîla				
glìva	bcs	gljȉva	ɡʎîʋa				
globa	bcs	glȍba	ɡlôba				
globati	bcs	glòbati	ɡlǒbati				
globìti	bcs	glòbiti	ɡlǒbiti		IN_WIKTIONARY		
glota	bcs	glȍta	ɡlôta				
glògъ	bcs	glȍg	ɡlôɡ		IN_WIKTIONARY		
glumiti	bcs	glúmiti	ɡlǔːmiti		IN_WIKTIONARY		
glupъ	bcs	glȗp	ɡlûːp		IN_WIKTIONARY		
