kotьcь	church_slavic	kotьcь	kɔtɪt͡sɪ
kòrva	church_slavic	krava	krava
kȏsъ	church_slavic	kosъ	kɔsʊ
kǫdě	church_slavic	kǫdě	kɔ̃dæ
kǫ̑sъ	church_slavic	kǫsъ	kɔ̃sʊ
krakati	church_slavic	krakati	krakati
kremy	church_slavic	kremy	krɛmɨ
krečetъ	church_slavic	krečetъ	krɛt͡ʃɛtʊ
krina	church_slavic	krina	krina
kriti	church_slavic	kriti	kriti
krȋkъ	church_slavic	krikъ	krikʊ
krȍsno	church_slavic	krosna	krɔsna
krǫglъ	church_slavic	krǫglъ	krɔ̃glʊ
krǫpěti	church_slavic	krǫpěti	krɔ̃pæti
krǫpъ	church_slavic	krǫpъ	krɔ̃pʊ
krǫtiti sę	church_slavic	krǫtiti sę	krɔ̃titi sɛ̃
krǫtъ	church_slavic	krǫtъ	krɔ̃tʊ
krǫčina	church_slavic	kručina	krut͡ʃina
krukъ	church_slavic	krukъ	krukʊ
kruxъ	church_slavic	kruxъ	kruxʊ
krūpà	church_slavic	krupa	krupa
krьnǫti	church_slavic	krьnuti	krɪnuti
kukonosъ	church_slavic	kukonosъ	kukɔnɔsʊ
kutiti	church_slavic	kutiti	kutiti
kùpъ	church_slavic	kupъ	kupʊ
kyjь	church_slavic	kyi	kɨi
kyprъjь	church_slavic	kypryj	kɨprɨj
kỳla	church_slavic	kyla	kɨla
kъrnъ	church_slavic	krъnъ	krʊnʊ
kъrzno	church_slavic	krъzno	krʊznɔ
kъsьnъ	church_slavic	kъsnъ	kʊsnʊ
kъxnǫti	church_slavic	kъxnǫti	kʊxnɔ̃ti
kъznь	church_slavic	kъznь	kʊznɪ
kъšiti	church_slavic	kъšiti	kʊʃiti
kъšь	church_slavic	kъšь	kʊʃɪ
làjati	church_slavic	lajati	lajati
lěnь	church_slavic	lěnь	lænɪ
lětь	church_slavic	lětь	lætɪ
lě̑pъ	church_slavic	lěpъ	læpʊ
lękti	church_slavic	lęšti	lɛ̃ʃti
lisìca	church_slavic	lisica	lisit͡sa
lokati	church_slavic	lokati	lɔkati
ložìti	church_slavic	ložiti	lɔʒiti
lȏjь	church_slavic	loi	lɔi
lǫčьje	church_slavic	lǫčije	lɔ̃t͡ʃijɛ
ludъ	church_slavic	ludъ	ludʊ
luspa	church_slavic	luspa	luspa
lučiti	church_slavic	lučiti	lut͡ʃiti
lùža	church_slavic	luža	luʒa
