				corr.
lisìca	slovene	lisíca	lisìːt͡sa	lisǐːt͡sa
dūrìti	slovene	dúriti	dùːriti	dǔːriti
ěrina	slovene	jarína	jarìːna	jarǐːna
oldi	slovene	ládja	làːdja	lǎːdja
tajìti	slovene	tajíti	tajìːti	tajǐːti
želě̀zo	slovene	želẹ́zọ	ʒɛlèːzo	ʒɛlěːzo
ȅsenь	slovene	jesę́	jɛsè̝ː	jɛsěː
pьrga	slovene	pŕga	pə̀rɡa	pə̌rɡa
làjati	slovene	lȃjati	láːjati	lâːjati
ędza	slovene	ję́za	jèːza	jěːza
volkà	slovene	vláka	ʋlàːka	ʋlǎːka
mьgnǫti	slovene	mǝgníti	mɔɡnìːti	mǝɡnǐːti
krūpà	slovene	krúpa	krùːpa	krǐːpa
kъsьnъ	slovene	kǝsȃn	kəsáːn	kəsâːn
drāžìti	slovene	drážiti	dràːʒiti	drǎːʒiti
mъknǫti	slovene	mǝkníti	mɔknìːti	mǝknǐːti
dьl̨a	slovene	dẹ̀lj	dèːlj	dêl
nāròdъ	slovene	národ	nàːrɔt	nǎːrɔt
čьxati	slovene	číhati	t͡ʃìːxati	t͡ʃǐːxati
mьrkъ	slovene	mȓk	mə́rk	mə̂rk
vȏrnъ	slovene	vrȃn	ʋráːn	ʋrâːn
golǫbъ	slovene	golǫ̑bji	ɡɔló̝ːbji	ɡɔlôːbji
ǫgorь	slovene	ogǫ́r	ɔɡò̝ːr	ɔɡǒːr
kakъ	slovene	kák	kàːk	kǎːk
nadъ	slovene	nàd	nàːt	nât
mъrky	slovene	mŕkǝv	mə̀rk	mə̌rkǝu̯
kolto	slovene	kláta	klàːta	klǎːta
mьlčàti	slovene	móɫčati	mɔ̀ːʊt͡ʃati	mɔ̌ːut͡ʃati
òrdlo	slovene	rálọ	ràːlo	rǎːlo
melzti	slovene	mlẹ́sti	mlèːsti	mlěːsti
tъrgati	slovene	tŕgati	tə̀rɡati	tə̌rɡati
teplъ	slovene	tópǝɫ	tɔ̀ːpǝʊ	tɔ̌ːpǝu̯
rě̄kà	slovene	rẹ́ka	rèːka	rěːka
tỳlъ	slovene	tȋɫ	tíʊ	tî:u̯
klějь	slovene	klẹ̑j	kléːj	klêːi̯
dьrpati	slovene	dŕpati	də̀rpati	də̀rpati
voinъ	slovene	vojník	ʋɔjnìːk	ʋɔi̯nǐːk
kotìti sę	slovene	kotíti	kɔtìːti	kɔtǐːti
čelesьnъ	slovene	čelę̑sǝn	t͡ʃɛléːsǝn	t͡ʃɛlêːsǝn
vojьna	slovene	vójna	ʋɔ̀ːjna	ʋɔ̌ːi̯na
mě̑sìti	slovene	mẹ́siti	mèːsiti	měːsiti
nǫditi	slovene	núditi	nùːditi	nǔːditi
polsà	slovene	plása	plàːsa	plǎːsa
mь̀čь	slovene	mèč	mɛ̀ːt͡ʃ	mɛ̂t͡ʃ
krīdlò	slovene	krílọ	krìːlo	krǐːlo
čarъ	slovene	čȃr	t͡ʃáːr	t͡ʃâːr
mьněti	slovene	mnẹ́ti	mnèːti	mněːti
vojь	slovene	vojník	ʋɔjnìːk	
pь̑rstь	slovene	pȓst	pə́rst	
lamъ	slovene	lam	lam	
bȇrgъ	slovene	brẹ̑g	bréːk	
lьněnъ	slovene	lanę̑n	lanɔ́n	
gaditi	slovene	gáditi	ɡàːditi	
xvórstъ	slovene	hrást	xràːst	
golgolъ	slovene	glāgol	ɡlàːɡɔl	
męzdro	slovene	mę́zdra	mèːzdra	
dāvìti	slovene	dáviti	dàːʋiti	
ě̀to	slovene	játọ	jàːto	
muzgъ	slovene	múzga	mùːzɡa	
dьržati	slovene	dŕžati	də̀rʒati	
ǭtròba	slovene	otróba	ɔtrɔ̀ːba	
plàkati	slovene	plákati	plàːkati	
bylьje	slovene	bȋlje	bíːljɛ	
kъlъ	slovene	kǝ̀l	kə̀l	
durъ	slovene	dúr	dùːr	
sǫdorga	slovene	sǫ́draga	sèːdraɡa	
vorta	slovene	vráta	ʋràːta	
kopati	slovene	kópati	kɔ̀ːpati	
morà	slovene	móra	mɔ̀ːra	
zьlčь	slovene	žȏɫč	ʒɔ́ːʊt͡ʃ	
ęcati	slovene	ję́kati	jèːkati	
l̨utiti	slovene	ljútiti	ljùːtiti	
pь̑rxъ	slovene	pȓh	pə́rx	
govьnò	slovene	gǫ́vno	ɡèːʋnɔ	
dьrzъ	slovene	dȓz	də́rs	
odolě̀ti	slovene	odolẹ́ti	ɔdɔlèːti	
sunǫti	slovene	súniti	sùːniti	
beleniti	slovene	blẹncáti	blent͡sàːti	
