				corr.
ritь	slovene	rìt	rɛt	
šìti	slovene	šíti	ʃìːti	
nuta	slovene	núta	nùːta	
žьzlъ	slovene	žę́zlọ	ʒèːzlo	
čel̨adь	slovene	čéljad	t͡ʃɛ̀ːljat	
pь̀rsь	slovene	pŕsi	pə̀rsi	
vě̀trъ	slovene	vẹ̑tǝr	ʋéːt	
sь	slovene	sej	sɛj	
kypě̀ti	slovene	kipẹ́ti	kipèːti	
bъ̀drъ	slovene	bōdǝr	bɔ̀ːdər	
bèrza	slovene	brẹ́za	brèːza	
kórtъ	slovene	kràt	kràːt	
drevje	slovene	drẹ̑vi	dréːʋi	
karati	slovene	kárati	kàːrati	
pěti	slovene	pẹ́ti	pèːti	
lǫ̑kъ	slovene	lǫ̑k	ló̝ːk	
mьn̨ьjь	slovene	mȃnji	máːnji	
slàbъ	slovene	slàb	slàːp	
konьcь	slovene	kónǝc	kɔ̀ːnǝt͡s	
dupa	slovene	dúpa	dùːpa	
osъ̀tъ	slovene	osȃt	ɔsáːt	
nebogъ	slovene	nebọ̑g	nɛbóːk	
pę̑stь	slovene	pę̑st	pé̝st	
drъ̏vo	slovene	dŕvọ	də̀rʋo	
ě̑dь	slovene	jẹ̑d	jéːt	
nȏsъ	slovene	nọ̑s	nóːs	
duplò	slovene	dúplọ	dùːpl	
mъlviti	slovene	móɫviti	mɔ̀ːʊʋiti	
kolta	slovene	kláta	klàːta	
rokъ	slovene	ròk	rək	
tręsti	slovene	trę́sti	trèːsti	
prъskati	slovene	pŕskati	pə̀rskati	
mȃzь	slovene	mȃz	máːs	
nìtь	slovene	nìt	nít	
sьrna	slovene	sŕna	sə̀rna	
sérn̨ь	slovene	srẹ̑n	sréːn	
bȏlь	slovene	bȏɫ	bɔ́ːʊ	
glъtati	slovene	goɫtáti	ɡɔʊtàːti	
tęgnǫti	slovene	tę́gniti	tè̝ːɡniti	
znàti	slovene	znáti	znàːti	
čelò	slovene	čélọ	t͡ʃɛ̀ːlo	
tỳsǫti	slovene	tisǫ́ča	tisò̝ːt͡ʃa	
xlě̀bъ	slovene	hlẹ̀b	xlèːp	
òlčьnъ	slovene	láčǝn	làːt͡ʃǝn	
ȍlkъtь	slovene	lakȃt	lakáːt	
povorzъ	slovene	povràz	pɔʋràːs	
sòlma	slovene	sláma	slàːma	
vъtorъkъ	slovene	vtórǝk	ʋtɔ̀ːrǝk	
blě̑dъ	slovene	blẹ̑d	bléːt	
piskarь	slovene	piskǫ́r	piskòːr	
dělati	slovene	dẹ́lati	dèːlati	
vъ̑šь	slovene	ùš	ʃ	
žerti	slovene	žrẹ́ti	ʒrèːti	
virъ	slovene	vȋr	ʋíːr	
rỳdlo	slovene	rílọ	rìːl	
studъ	slovene	stȗd	stúːt	
grьměti	slovene	grmẹ́ti	ɡrmèːti	
mȇdъ	slovene	mę̑d	méːt	
tàjati	slovene	tájati	tàːjati	
gvě̄zdà	slovene	zvẹ́zda	zʋèːzda	
věděti	slovene	vẹ́dẹti	ʋèːditi	
àsъtrę̄bъ	slovene	jȃstreb	jáːstrɛp	
ȍpaky	slovene	opȃk	ɔpáːk	
glę̀dati	slovene	glę́dati	ɡlèːdati	
jьmela	slovene	omę́la	ɔmèːla	
trovati	slovene	trováti	trɔʋàːti	
kàjati	slovene	kájati	kàːjati	
kъ̀rpa	slovene	kŕpa	kə̀rpa	
oje	slovene	oję̑	ɔjé̝ː	
erębь	slovene	jerę̑b	jɛré̝ːp	
kъrknǫti	slovene	kŕkniti	kə̀rkniti	
vòn̨a	slovene	vònj	ʋɔ́nj	
dь̀lgъ	slovene	dȏlg	dɔ́ːʋk	
pòlxъ	slovene	plȃh	pláːx	
mòrzъ	slovene	mràz	mràːs	
mękъkъ	slovene	mehȃk	mɛxáːk	
gojiti	slovene	gojíti	ɡɔjìːti	
golvà	slovene	gláva	ɡlàːʋa	
dē̌žà	slovene	dę́ža	dèːʒa	
šibati	slovene	šíbati	ʃìːbati	
žьlna	slovene	žóɫna	ʒɔ̀ːʊna	
lě̀to	slovene	lẹ́tọ	lèːto	
ledva	slovene	jèdva	jɛ̀ːdʋa	
krasti	slovene	krásti	kràːsti	
àblъko	slovene	jáboɫka	jàːbɔʊka	
debelъ	slovene	débeɫ	dɛ̀ːbɛʊ	
i	slovene	ì	í	
l̨utъ	slovene	ljȗt	ljúːt	
skorà	slovene	skǫ́rja	skòːrja	
dě̀dъ	slovene	dẹ̀d	dèːt	
brьna	slovene	bŕna	bə̀rna	
plotъ	slovene	plọ̑t	plóːt	
àblъ	slovene	jáblọ	jàːbl	
lisъ	slovene	lìs	lís	
svьrběti	slovene	srbẹ́ti	srbèːti	
obětjati	slovene	obẹ́čati	ɔbèːt͡ʃati	
klìcati	slovene	klícati	klìːt͡sati	
pę̑tь	slovene	pę̑t	pé̝t	
dǭgà	slovene	dǫ́ga	dò̝ːɡa	
drevě	slovene	drẹ̑vi	dréːʋi	
sǫ̑kъ	slovene	sǫ̑k	sɔk	
krъxa	slovene	kr̀h	kərəx	
làpa	slovene	lápa	làːpa	
lȏvъ	slovene	lòv	lɔ́ʋ	
zěnica	slovene	zẹníca	zèːnìːt͡sa	
gàziti	slovene	gáziti	ɡàːziti	
jьlъ	slovene	íɫ	ìːʊ	
orkỳta	slovene	rakȋta	rakíːta	
čàjati	slovene	čȃjati	t͡ʃáːjati	
xorbrъ	slovene	hrábǝr	xràːbər	
pǫ̀čiti	slovene	pǫ́čiti	pèːt͡ʃiti	
koltiti	slovene	klátiti	klàːtiti	
bolnъ	slovene	blẹ̀n	blèːn	
tvȃrь	slovene	tvȃr	tʋáːr	
pěgavъ	slovene	pẹ́gav	pèːɡaʋ	
gỳnǫti	slovene	gíniti	ɡìːniti	
četỳre	slovene	štírje	ʃtìːrjɛ	
lovìti	slovene	lovíti	lɔʋìːti	
kremy	slovene	krémen	krɛ̀ːmɛn	
gordjь	slovene	grája	ɡràːja	
ròjь	slovene	ròj	ròj	
tenetò	slovene	tenę̑t	tɛnɔt	
prijati	slovene	príjati	prìːjati	
bolzìna	slovene	blazína	blazìːna	
bojь	slovene	bòj	bɔ́j	
cělovàti	slovene	cẹlováti	t͡sèːlɔʋàːti	
nosìti	slovene	nósiti	nɔ̀ːsiti	
rębica	slovene	rebíca	rɛbìːt͡sa	
drǫ́kъ	slovene	drǫ̑k	dró̝ːk	
lytъka	slovene	lȋtka	líːtka	
bostì	slovene	bósti	bɔ̀ːsti	
stьblь	slovene	stǝbǝ̀ɫ	stǝbə́ʊ	
doba	slovene	dóba	dɔ̀ːba	
gǫ̑stъ	slovene	gǫ̑st	ɡɔst	
soltina	slovene	slȃtina	sláːtina	
pàdati	slovene	pádati	pàːdati	
gńìda	slovene	gnída	ɡnìːda	
rūnò	slovene	rúnọ	rùːn	
obьlъ	slovene	ǫ́bǝɫ	ò̝ːbǝʊ	
tr̨ьje	slovene	triję̑	trijé̝ː	
krǫglъ	slovene	krǫ́gǝɫ	krèːk	
počìti	slovene	počíti	pɔt͡ʃìːti	
telktì	slovene	tlẹ́či	tlèːt͡ʃi	
snъxà	slovene	snáha	snàːxa	
sǫdì	slovene	sǫ́dij	sèːdij	
kortъkъ	slovene	krátǝk	kràːt	
xȗdъ	slovene	hȗd	xúːt	
làziti	slovene	láziti	làːziti	
vȏlsъ	slovene	lȃs	láːs	
pь̑lstь	slovene	pȏɫst	pɔ́ːʊst	
pȏrxъ	slovene	prȃh	práːx	
mъnogъ	slovene	mnǫ̑g	mnɔɡ	
tъ	slovene	tȃ	táː	
oborъ	slovene	obọ̑ra	ɔbóːra	
orbъ	slovene	ròb	rɔ́p	
vьlgъkъ	slovene	vóɫgǝk	ʋɔ̀ːʊɡək	
òrmo	slovene	ráme	ràːmɛ	
glěnъ	slovene	glẹ̑n	ɡléːn	
mьzdà	slovene	mǝzdà	mǝzdá	
lososь	slovene	lōsos	lɔ̀ːsɔs	
čùdo	slovene	čúdọ	t͡ʃùːdo	
dovьlěti	slovene	dovlẹ́ti	dɔʋlèːti	
tęžъkъ	slovene	téžǝk	tɛ̀ːʃ	
kūrìti	slovene	kúriti	kùːriti	
zьrěti	slovene	zrẹ́ti	zrèːti	
tekti	slovene	téči	tɛ̀ːt͡ʃi	
kl̨učiti	slovene	kljúčiti	kljùːt͡ʃiti	
lъža	slovene	lažà	laʒá	
solnà	slovene	slána	slàːna	
arь̀mъ	slovene	járǝm	jàːr	
bebrъ	slovene	bóbǝr	bɔ̀ːbər	
pěsъ̀kъ	slovene	pẹ́sǝk	pèːsǝk	
mǭtìti	slovene	mǫ́titi	mèːtiti	
jьmelo	slovene	omę́la	ɔmèːla	
mьrzěti	slovene	mrzẹ́ti	mərzèːti	
bodàti	slovene	bọ̑dati	bóːdati	
krъvьnъ	slovene	kŕvǝn	kə̀rʋən	
bedra	slovene	bédrọ	bɛ̀ːdro	
plástъ	slovene	plȃst	pláːst	
sìto	slovene	sítọ	sìːt	
orz	slovene	ràz	ràːs	
děti	slovene	dẹjáti	dejàːti	
blizь	slovene	blìz	blə́s	
gorьkъ	slovene	górǝk	ɡɔ̀ːrǝk	
vaditi	slovene	váditi	ʋàːditi	
gǫgnavъ	slovene	gognjàv	ɡɔɡnjàːʋ	
ěsti	slovene	jẹ́sti	jèːsti	
osà	slovene	ósa	ɔ̀ːsa	
kl̨účь	slovene	kljúč	kljùːt͡ʃ	
slùšati	slovene	slúšati	slùːʃati	
čixati	slovene	číhati	t͡ʃìːxati	
gorьjь	slovene	gǫ́rji	ɡòːrji	
bě̀gati	slovene	bẹ́gati	bèːɡati	
ògn'ь	slovene	ógǝnj	ɔ̀ːɡənj	
berstъ	slovene	brẹ́st	brèːst	
čadъ	slovene	čȃd	t͡ʃáːt	
lěnъ	slovene	lẹ̑n	léːn	
kъlka	slovene	kòɫk	kóʊk	
podъ	slovene	pòd	pɔ́t	
dupl̨a	slovene	dȗplja	dúːplja	
olьša	slovene	ję́ɫša	jèːʊʃa	
ěrъka	slovene	jȃrka	jáːrka	
soxà	slovene	sóha	sɔ̀ːxa	
močìti	slovene	móčiti	mɔ̀ːt͡ʃiti	
gǫ̀ba	slovene	gǫ́ba	ɡòːba	
lučiti	slovene	lučíti	lut͡ʃìːti	
eževika	slovene	ježevíca	jɛʒɛʋìːt͡sa	
àgnьcь	slovene	jȃgnǝc	jáːɡnǝt͡s	
čàsъ	slovene	čàs	t͡ʃàs	
gǫgn̨ati	slovene	gognjáti	ɡɔɡnjàːti	
rębika	slovene	rebíka	rɛbìːka	
černь	slovene	črẹ̑n	t͡ʃréːn	
kȏstь	slovene	kọ̑st	kóːst	
stryjь	slovene	stríc	strìːt͡s	
čelesьnъjь	slovene	čelę̑sǝn	t͡ʃɛléːsǝn	
bòlna	slovene	blȃna	bláːna	
slǫ̀ka	slovene	slǫ́ka	slèːka	
otьcь	slovene	óče	ɔ̀ːt͡ʃɛ	
sȏkъ	slovene	sọ̑k	sóːk	
krojiti	slovene	krojíti	krɔjìːti	
spě̑xъ	slovene	spẹ̑h	spéːx	
zijati	slovene	zijáti	zijàːti	
sỳtъ	slovene	sìt	sít	
svinьjà	slovene	svínja	sʋìːnja	
rǭkà	slovene	róka	rɔ̀ːka	
bъrna	slovene	bŕna	bə̀rna	
mȋgъ	slovene	mȋg	míːk	
gasnǫti	slovene	gásniti	ɡàːsniti	
vь̀rxъ	slovene	vȓh	ʋə́rx	
protivo	slovene	prọ̀ti	pròːti	
gъ̀rdlo	slovene	gŕlọ	ɡə̀rlo	
pȍrsę	slovene	prasè	prasɛ́	
bъrtь	slovene	brt	brt	
lěnìvъ	slovene	lẹnìv	leníʋ	
blekъ	slovene	blę́k	blèːk	
žìto	slovene	žítọ	ʒìːto	
lȏjь	slovene	lọ̑j	lóːj	
voskъ	slovene	vọ̑sǝk	ʋóːsǝk	
lь̑nъ	slovene	lȃn	láːn	
dupina	slovene	dupína	dupìːna	
bl̨ьvàti	slovene	bljǝváti	bljàːʋàːti	
zьjati	slovene	zijáti	zijàːti	
sě̀verъ	slovene	sẹ́ver	sèːʋɛr	
klìknǫti	slovene	klíkniti	klìːkniti	
motyka	slovene	motȋka	mɔtíːka	
òrmę	slovene	ráme	ràːmɛ	
kyselъ	slovene	kíseɫ	kìːsɛʊ	
melti	slovene	mlẹ́ti	mlèːti	
klъkati	slovene	kóɫcati	kɔ̀ːt͡stati	
kašl̨ati	slovene	kȃšljati	káːʃljati	
korda	slovene	kráda	kràːda	
kъn	slovene	k	k	
rębъkъ	slovene	rę̑b	ré̝ːp	
čakati	slovene	čákati	t͡ʃàːkati	
dvьrь	slovene	dúri	dùːri	
česnъkъ	slovene	čésǝn	t͡ʃɛ̀ːsən	
badlovati	slovene	balováti	balɔʋàːti	
pelesъ	slovene	pelę́sast	pɛlèːsast	
dę̄snà	slovene	dlésna	dlɛ̀ːsna	
korỳto	slovene	korítọ	kɔrìːt	
mь̀rtvъ	slovene	mŕtǝv	mə̀rtəʋ	
dojidlo	slovene	dojílọ	dɔjìːl	
pъtìca	slovene	ptíca	ptìːt͡sa	
syrovъ	slovene	surǫ̑v	surɔ́ʋ	
dāvàti	slovene	dávati	dàːʋati	
vȏlkъ	slovene	vlȃk	ʋláːk	
ludъ	slovene	lȗd	lúːt	
čemerika	slovene	čemeríka	t͡ʃɛmɛrìːka	
kruxъ	slovene	krùh	krúx	
driskati	slovene	drískati	drìːskati	
kòlъ	slovene	kòɫ	kóʊ	
někъto	slovene	nẹkdọ́	nèːktòː	
mìlъ	slovene	mȋɫ	míːʊ	
palьcь	slovene	pȃɫǝc	páːʊǝt͡s	
dal̨a	slovene	dálja	dàːlja	
dęgъ	slovene	dę́ga	dè̝ːɡa	
kòšь	slovene	kòš	kóʃ	
gǫžь	slovene	gǫ́ž	ɡèːʃ	
tèrti	slovene	trẹ́ti	trèːti	
veslò	slovene	véslọ	ʋɛ̀ːslo	
lozà	slovene	lóza	lɔ̀ːza	
kùditi	slovene	kúditi	kùːditi	
māxàti	slovene	máhati	màːxati	
volknò	slovene	vláknọ	ʋlàːkno	
bridъkъ	slovene	brídǝk	brìːt	
obrěsti	slovene	obrẹ́sti	ɔbrèːsti	
dъva	slovene	dvȃ	dʋáː	
dȅsnъ	slovene	dę́sǝn	dèːs	
edìnъ	slovene	edín	ɛdìːn	
drevьnъ	slovene	dréven	drɛ̀ːʋɛn	
šȇstь	slovene	šę̑st	ʃéːst	
mьn̨e	slovene	mànj	màːn	
stȃnъ	slovene	stȃn	stáːn	
dъždžь	slovene	dǝ̀ž	də́ʃ	
vъ	slovene	v	ʋ	
sìvъ	slovene	sìv	sə́ʋ	
brьnьje	slovene	bȓnje	bə́rnjɛ	
nǫ̀dja	slovene	núja	nùːja	
paxati	slovene	páhati	pàːxati	
pь̀lnъ	slovene	pȏɫn	pɔ́ː	
belnovati	slovene	blẹncáti	blent͡sàːti	
čuditi	slovene	čúditi se	t͡ʃùːditi sɛ	
nozdra	slovene	nǫ̑zdra	nó̝ːzdra	
minǫti	slovene	miníti	minìːti	
rъvàti	slovene	rváti	ərʋàːti	
mogti	slovene	móči	mɔ̀ːt͡ʃi	
kъrma	slovene	kŕma	kə̀rma	
pasti	slovene	pásti	pàːsti	
dьbrь	slovene	debǝr	dɛbr	
l̨ūbìti	slovene	ljúbiti	ljùːbiti	
kъrmъ	slovene	kŕma	kə̀rma	
tvorìti	slovene	tvoríti	tʋɔrìːti	
cě̑vь	slovene	cẹ̑v	t͡séːʋ	
česnъ	slovene	čésǝn	t͡ʃɛ̀ːsən	
bìti	slovene	bíti	bìːti	
korbъ	slovene	kraba	kraba	
lopàta	slovene	lopáta	lɔpàːta	
brodìti	slovene	bróditi	brɔ̀ːditi	
vòrna	slovene	vrána	ʋràːna	
kaznь	slovene	kȃzǝn	káːzən	
čerzъ	slovene	črẹ̀z	t͡ʃrèːs	
vixъrъ	slovene	víhǝr	ʋìːxǝr	
vodìti	slovene	vóditi	ʋɔ̀ːditi	
govorìti	slovene	govoríti	ɡɔʋɔrìːti	
ezъ	slovene	jẹ̑z	jéːs	
dǫ̑bъ	slovene	dǫ̑b	dó̝ːp	
elenь	slovene	jélen	jɛ̀ːlɛn	
čęstъ	slovene	čę́stọ	t͡ʃèːst	
onutja	slovene	onúča	ɔnùːt͡ʃa	
stàti	slovene	státi	stàːti	
letěti	slovene	letẹ́ti	lɛtèːti	
prídъ	slovene	prìd	prɛt	
zę̀tь	slovene	zèt	zɛ̀ːt	
medojědъ	slovene	medojẹ̀d	mɛdɔjèːt	
svekrъ	slovene	svę́kǝr	sʋèːkər	
cè̌sta	slovene	cẹ́sta	t͡sèːsta	
bъ̀dr̨ь	slovene	bōdǝr	bɔ̀ːdər	
gńìti	slovene	gníti	ɡnìːti	
kolě̀no	slovene	kolẹ́nọ	kɔlèːno	
màlъ	slovene	mȃli	máːli	
ęga	slovene	ję́za	jèːza	
nikati	slovene	níkati	nìːkati	
dérnъ	slovene	drẹ̀n	drèːn	
mě̀dь	slovene	mẹ̑d	méːt	
drъgati	slovene	dŕgati	də̀rɡati	
plesno	slovene	plésna	plɛ̀ːsna	
drȗgъ	slovene	drȗg	drúːk	
sě̑no	slovene	sẹnọ̑	séːn	
čùti	slovene	čúti	t͡ʃùːti	
slàva	slovene	sláva	slàːʋa	
brysadlo	slovene	brisálọ	brisàːl	
ako	slovene	àkọ	áko	
želdica	slovene	žlẹ̑d	ʒléːt	
sȏlь	slovene	sọ̑ɫ	sóː	
sęgti	slovene	sę́či	sè̝ːt͡ʃi	
cě̄dìti	slovene	cẹdíti	t͡sèːìːti	
jьměti	slovene	imẹ́ti	imèːti	
vъn	slovene	v	ʋ	
gvozdъ	slovene	gòzd	ɡɔ́zd	
xvojь	slovene	hǫ̑ja	xóːja	
po	slovene	pò	pɔ́	
vě̀ra	slovene	vę́ra	ʋòːra	
tь̏nьkъ	slovene	tǝnǝ̀k	tənə́k	
kopa	slovene	kópa	kɔ̀ːpa	
òsmь	slovene	ǫ́sǝm	ò̝ːsǝm	
kurъ	slovene	kùr	kúr	
vỳgъn̨a	slovene	vígǝnj	ʋìːɡən	
tǭgà	slovene	tǫ́ga	tò̝ɡa	
esmь	slovene	sǝm	sǝm	
sъxnǫti	slovene	sǝhníti	səxnìːti	
tě̀mę	slovene	tẹ́me	tèːmɛ	
otvorìti	slovene	otvoríti	ɔtʋɔrìːti	
pàmętь	slovene	pámet	pàːmɛt	
etì	slovene	jébati	jɛ̀ːbati	
luščiti	slovene	lúščiti	lùːʃt͡ʃiti	
vьdovà	slovene	vdọ̑va	ʋdóːʋa	
azъ	slovene	jàz	jàːs	
gȍr̨e	slovene	gorję̑	ɡɔrjéː	
bě̑sъ	slovene	bẹ̑s	béːs	
dòlnь	slovene	dlàn	dlàːn	
gybati	slovene	gíbati	ɡìːbati	
mъrmъrati	slovene	mrmráti	mrmràːti	
xoldьnъ	slovene	hládǝn	xlàːdən	
stьblò	slovene	stéblọ	stɛ̀ːblo̝	
dъxnǫti	slovene	dǝhníti	dəxnìːti	
smьjàti	slovene	smẹ́jati se	smèːjati sɛsɛ	
àstrę̄bъ	slovene	jȃstreb	jáːstrɛp	
prosterti	slovene	prostrẹ́ti	prɔstrèːti	
gospodinъ	slovene	gospodȋn	ɡɔspɔdíːn	
sьršenь	slovene	sŕšen	sə̀rʃɛn	
bòlto	slovene	blátọ	blàːto	
ěrъ	slovene	jȃr	jáːr	
orě̀xъ	slovene	órẹh	ɔ̀ːrèːx	
ȍpakъ	slovene	opȃk	ɔpáːk	
pьsàti	slovene	písati	pìːsati	
plě̑šь	slovene	plẹ̑š	pléːʃ	
pь̑nь	slovene	pȃnj	páːnj	
sъmьrtь	slovene	smr̀t	smərt	
čьrtà	slovene	čŕta	t͡ʃə̀rta	
ūstà	slovene	ústa	ùːsta	
minovati	slovene	minováti	minɔʋàːti	
otъverti	slovene	odvrẹ́ti	ɔdʋrèːti	
žьrny	slovene	žȓnǝv	ʒə́rnəʋ	
poìti	slovene	pojíti	pɔjìːti	
dъvogubъ	slovene	dvogùb	dʋɔɡɔ́p	
my̑slь	slovene	mȋsǝɫ	míːsǝʊ	
ęčati	slovene	ję́čati	jèːt͡ʃati	
pȍpelъ	slovene	pepę̑ɫ	pɛpé̝ːʊ	
kurica	slovene	kúrica	kùːrit͡sa	
edьnakъ	slovene	ednák	ɛdnàːk	
ǫdìti	slovene	vodíti	ʋɔdìːti	
bedrò	slovene	bédrọ	bɛ̀ːdro	
trъ̑stь	slovene	tȓst	tə́rst	
àblъkъ	slovene	jáboɫka	jàːbɔʊka	
zь̀rno	slovene	zŕnọ	zə̀rno	
pьrvъ	slovene	pȓvi	pə́rʋi	
pę̑dь	slovene	pę̑d	pé̝t	
sǫdьrga	slovene	sǫ́draga	sèːdraɡa	
lędvьja	slovene	lę́dija	lèːdija	
lonò	slovene	lonọ	lɔno	
globìti	slovene	globíti	ɡlɔbìːti	
tęga	slovene	tę̑g	té̝ːk	
gràdъ	slovene	gràd	ɡràːt	
pitati	slovene	pítati	pìːtati	
pȳtàti	slovene	pítati	pìːtati	
bliskъ	slovene	blȋsk	blíːsk	
kopьje	slovene	kopję̑	kɔpjéː	
vьrsta	slovene	vŕsta	ʋə̀rsta	
prȏstъ	slovene	pròst	prɔ́st	
gǫsti	slovene	gǫ́sti	ɡèːsti	
mèrža	slovene	mrẹ́ža	mrèːʒa	
bodъlь	slovene	bȏdǝlj	bɔ́ːdəlj	
žerdlò	slovene	žrẹ́lọ	ʒrèːlo	
olnìta	slovene	laníta	lanìːta	
paziti	slovene	páziti	pàːziti	
kasati	slovene	kasati	kasati	
tolkà	slovene	tláka	tlàːka	
ǫ́žь	slovene	ǫ́ž	ò̝ːʃ	
kòn̨ь	slovene	kònj	kɔ́nj	
mošьna	slovene	móšnja	mɔ̀ːʃnja	
blǭdìti	slovene	blǫ́diti	blò̝ːditi	
sȏlpъ	slovene	slȃp	sláːp	
lǫ̑gъ	slovene	lǫ̑g	ló̝ːk	
korba	slovene	kraba	kraba	
sỳtъjь	slovene	sìt	sít	
osnòvā	slovene	osnǫ̑va	ɔsnó̝ʋa	
tьlò	slovene	tlà	tlá	
grȏmъ	slovene	grọ̑m	ɡróːm	
borzdà	slovene	brázda	bràːzda	
ěrę	slovene	jarè	jarɛ	
lokati	slovene	lókati	lɔ̀ːkati	
davьnъ	slovene	dávǝn	dàːʋǝn	
sȃdъ	slovene	sȃd	sáːt	
męsti	slovene	mę́sti	mèːsti	
zȏbъ	slovene	zǫ̑b	zóːp	
gъrkati	slovene	gŕkati	ɡə̀rkati	
melkò	slovene	mlẹ́kọ	mlèːko	
jelьša	slovene	ję́ɫša	jèːʊʃa	
kydnǫti	slovene	kíniti	kìːniti	
l̨ȗdьje	slovene	ljudję̑	ljudjéː	
rỳti	slovene	ríti	rìːti	
mǫ̀ka	slovene	múka	mùːka	
kukati	slovene	kúkati	kùːkati	
xabьnъ	slovene	hábǝn	xàːbən	
mȍr̨e	slovene	morję̑	mɔrjéː	
estь	slovene	jè	jɛ	
bȏrvъ	slovene	brȃv	bráːʋ	
mьn̨eje	slovene	mànj	màːn	
perkъ	slovene	prẹ̑k	préːk	
krasьnъ	slovene	krásǝn	kràːsǝn	
dȏrgъ	slovene	drȃg	dráːk	
snuti	slovene	snováti	snɔʋàːti	
pętà	slovene	péta	pɛ̀ːta	
xorniti	slovene	hrániti	xràːniti	
grustь	slovene	grȗst	ɡrúːst	
rebrò	slovene	rébrọ	rɛ̀ːbro̝	
běžàti	slovene	bẹ́žati	bèːʒati	
piskalъ	slovene	piskǫ́r	piskòːr	
solvьjь	slovene	slávǝc	slàːʋət͡s	
grebenь	slovene	grebę̑n	ɡrɛbóːn	
murъ	slovene	mȗr	múːr	
edьnъ	slovene	edín	ɛdìːn	
belenъ	slovene	blẹ̀n	blèːn	
vȇrskъ	slovene	vrẹ̑s	ʋréːs	
krinica	slovene	krínja	krìːnja	
deltò	slovene	dlẹ́tọ	dlèːto	
čara	slovene	čára	t͡ʃàːra	
drьkolьje	slovene	dŕkoɫ	də̀rkɔʊ	
sě̀ti	slovene	sẹjáti	sèːjti	
glumiti	slovene	glúmiti se	ɡlùːmiti sɛsɛ	
grę̄dà	slovene	gréda	ɡrɛ̀ːda	
krina	slovene	krínja	krìːnja	
koliko	slovene	kọ́liko	kòːlikɔ	
brьvъnò	slovene	bȓvnọ	bə́rʋno	
ešče	slovene	šè	ʃé	
čь̀rnъ	slovene	čŕn	t͡ʃə̀rn	
žȅlǫdь	slovene	žélod	ʒɛ̀ːlɔt	
sòmъ	slovene	sòm	s	
sъpъ	slovene	sèp	sɛ̀ːp	
bujьnъ	slovene	bújǝn	bùːj	
pèlti	slovene	plẹ́ti	plèːti	
glezna	slovene	glę́žǝnj	ɡlèːʒǝnj	
grěti	slovene	grẹ́ti	ɡrèːti	
pь̀sъ	slovene	pǝ̀s	pə̀rs	
ščenę	slovene	ščenè	ʃt͡ʃɛn	
čȇrpъ	slovene	črẹ̑p	t͡ʃréːp	
plàvati	slovene	plávati	plàːʋati	
màzati	slovene	mázati	màːzati	
otъvorìti	slovene	otvoríti	ɔtʋɔrìːti	
korà	slovene	kóra	kɔ̀ːra	
volděti	slovene	vládati	ʋlàːdati	
rębina	slovene	rebíka	rɛbìːka	
tě̑sto	slovene	tẹstọ̑	téːstóː	
naustiti	slovene	naústiti	naùːstiti	
čermuxa	slovene	črę̑mha	t͡ʃré̝ːmxa	
lȇdъ	slovene	lę̑d	lé̝ːd	
kokotъ	slovene	kokọ̑t	kɔkóːt	
koltъ	slovene	kláta	klàːta	
bьrati	slovene	bráti	bràːti	
strьžьnь	slovene	stržę̑n	strʒéːn	
pь̀lzati	slovene	póɫzati	pɔ̀ːʊzati	
dȃrъ	slovene	dȃr	dáːr	
ȍko	slovene	okọ̑	ɔkóː	
jь̑go	slovene	igọ̑	iɡóː	
cě̄và	slovene	cẹ̑vka	t͡séːʋka	
vь̀lna	slovene	vóɫna	ʋɔ̀ːʊna	
gvorъ	slovene	gòr	ɡɔ́r	
pìtja	slovene	píča	pìːt͡ʃa	
modrъ	slovene	mǫ́dǝr	mèːdər	
kъxati	slovene	kȃhati	káːxati	
smьrdě̀ti	slovene	smrdẹ́ti	smərdèːti	
līzàti	slovene	lízati	lìːzati	
palica	slovene	pálica	pàːlit͡sa	
dalèkъ	slovene	dálek	dàːlɛk	
bȏlgъ	slovene	blȃg	bláːk	
gńilъ	slovene	gnȋɫ	ɡníːʊ	
trǫdъ	slovene	trǫ̑d	tró̝ːt	
dvojь	slovene	dvọ̑j	dʋóːj	
četverъ	slovene	četvę̑r	t͡ʃɛtʋé̝ːr	
čermuša	slovene	črę̑mha	t͡ʃré̝ːmxa	
olbǭdь	slovene	labǫ́d	labò̝ːt	
gròzdъ	slovene	gròzd	ɡrɔ́zd	
bordà	slovene	bráda	bràːda	
žьltъ	slovene	žȏɫt	ʒɔ́ːʊt	
norvь	slovene	nràv	nràːʋ	
sę̀dzati	slovene	sę́zati	sèːzati	
čerslò	slovene	črẹ́slọ	t͡ʃrèːsl	
kādìti	slovene	kadíti	kadìːti	
kamy	slovene	kámen	kàːmɛn	
gnusiti	slovene	gnúsiti	ɡnùːsiti	
ȁgoda	slovene	jágoda	jàːɡɔda	
gruda	slovene	grúda	ɡrùːda	
gnȏjь	slovene	gnọ̑j	ɡnóːj	
ě̑rъ	slovene	jȃr	jáːr	
nòvъ	slovene	nòv	nɔ́ʊ	
klekotati	slovene	klekotáti	klɛkɔtàːti	
paznegъtь	slovene	pážnohǝt	pàːʒnɔxǝt	
dě̀verь	slovene	dẹvę̑r	déʋé̝ːr	
čarodějь	slovene	čarodẹ̀j	t͡ʃarɔdèːj	
vъtorъjь	slovene	vtóri	ʋtɔ̀ːri	
kyxati	slovene	kíhati	kìːxati	
