		pięść		pjej̃ɕt͡ɕ	
povorzъ	polish	powróz	ˈpɔvrus	ˈpɔvrus	
pàmętь	polish	pamięć	ˈpamʲɛɲt͡ɕ	ˈpamʲɛɲt͡ɕ	
dūrìti	polish	durzyć	ˈduʐɨt͡ɕ	ˈduʐɨt͡ɕ	
žarъ	polish	żar	ʐar	ˈʐar	
sovà	polish	sova	ˈsɔva	ˈsɔva	
lemežь	polish	lemiesz	ˈlɛmʲɛʂ	ˈlɛmʲɛʂ	
dužь	polish	duży	ˈduʐɨ	ˈduʐɨ	
sǫ̑kъ	polish	sęk	sɛŋk	ˈsɛŋk	
sy̑nъ	polish	syn	sɨn	ˈsɨn	
jь̑go	polish	jugo	ˈjuɡɔ	ˈjuɡɔ	
mestì	polish	mieść	mʲɛɕt͡ɕ	mʲɛɕt͡ɕ	
bùr̨a	polish	burza	ˈbuʐa	ˈbuʐa	
sъlàti	polish	sɫać	swat͡ɕ	swat͡ɕ	
polъ	polish	póɫ	puw	puw	
obьlъ	polish	obɫy	ˈɔbwɨ	ˈɔbwɨ	
doba	polish	doba	ˈdɔba	ˈdɔba	
nȃgъ	polish	nagi	ˈnaɡʲi	ˈnaɡʲi	
medjà	polish	miedza	ˈmʲɛd͡za	ˈmʲɛd͡za	
niknǫti	polish	niknąć	ˈɲiknɔɲt͡ɕ	ˈɲiknɔɲt͡ɕ	
vě̑no	polish	wiano	ˈvʲanɔ	ˈvʲanɔ	
gnestì	polish	gnieść	ɡɲɛɕt͡ɕ		
dȃrъ	polish	dar	dar		
stàviti	polish	stawić	ˈstavʲit͡ɕ		
tȗkъ	polish	tuk	tuk		
kǫsati	polish	kąsać	ˈkɔ̃sat͡ɕ	ˈkɔw̃sat͡ɕ	
xoldьnъ	polish	chɫodny	ˈxwɔdnɨ		
tvȃrь	polish	twarz	tfaʂ		
àsъtrę̄bъ	polish	jastrząb	ˈjastʂɔmp	ˈjastʂɔmp	
ležàti	polish	leżeć	ˈlɛʐɛt͡ɕ		
nъně	polish	ninie	ˈɲiɲɛ		
libavъ	polish	lubawy	luˈbavɨ		
čemerъ	polish	czemier	ˈt͡ʂɛmʲɛr		
korbī	polish	krobia	ˈkrɔbʲa		
krǫtiti	polish	kręcić	ˈkrɛɲt͡ɕit͡ɕ	ˈkrɛɲt͡ɕit͡ɕ	
ǫ́sъ	polish	wąs	vɔ̃s	ˈvɔw̃s	
dalь	polish	dal	dal		
zīmà	polish	zima	ˈʑima		
