kvě̑tъ	upper_sorbian	květ	kʲɪt	ˈkʲɪt		
gně̀vъ	upper_sorbian	gněw	ɡnʲɪ	ˈhnʲɪw	!	USo hněw
bȏgъ	upper_sorbian	bóh	bʊh	ˈbʊ		
mèčь	upper_sorbian	mječ	mʲɛt͡ʃ	met͡ʃ		
drabъ	upper_sorbian	draby	ˈdʀabɨ	ˈdʀabɨ		
sȏlь	upper_sorbian	sól	sɨl	ˈsɨl		
bìti	upper_sorbian	bić	bʲit͡ʃ	ˈbʲit͡ʃ		
osa	upper_sorbian	wosa	ˈosa	ˈwɔsa		
òrdlo	upper_sorbian	radɫo	ˈʀadwo	ˈʀadwɔ		
mara	upper_sorbian	mara	ˈmaʀa	ˈmaʀa		
modrъ	upper_sorbian	módry	ˈmʊdʀɨ	ˈmʊdʀɨ		
vỳknǫti	upper_sorbian	wuknyć	ˈuknɨt͡ʃ	ˈuknɨt͡ʃ		
jьmelo	upper_sorbian	jemjel	ˈjɛmʲɛl	ˈjemʲɛl		
ǫ́žь	upper_sorbian	wuž	uʃ	ˈwuʃ		
orlьja	upper_sorbian	rola	ˈʀola	ˈʀɔla		
sèdmь	upper_sorbian	sydom	ˈsɨdom	ˈsɨdom		
ȇ̌dъ	upper_sorbian	jěd	jɪt	ˈjɪt		
olьša	upper_sorbian	wólša	ˈwʊlʃa	ˈwʊlʃa		
orь̀lъ	upper_sorbian	worjoɫ	ˈoʀʲow	ˈwoʀʲow		
mě̀sto	upper_sorbian	město	ˈmʲɪsto	ˈmʲɪstɔ		
erębina	upper_sorbian	jerjabina	ˈjɛʀʲabʲina	ˈjeʀʲabʲina		
lękti	upper_sorbian	lac	lat͡s	ˈlat͡s		
mikati	upper_sorbian	mikać	ˈmʲikat͡ʃ	ˈmʲikat͡ʃ		
rě̄kà	upper_sorbian	rěka	ˈʀʲɪka	ˈʀʲɪka		
gòrxъ	upper_sorbian	hroch	ʀox	ˈʀox		
čь̑stь	upper_sorbian	česć	t͡ʃɛst͡ʃ	ˈt͡ʃɛst͡ʃ		
xȏldъ	upper_sorbian	chɫód	ˈxwʊt	ˈkwʊt		
gatъ	upper_sorbian	hat	hat	ˈhat		
bagno	upper_sorbian	bahno	ˈbaxno	ˈbaɣnɔ		
pèlva	upper_sorbian	pluwa	ˈpluwa	ˈpluwa		
kroma	upper_sorbian	kroma	ˈkʀoma	ˈkʀoma		
sěkti	upper_sorbian	syc	sɨt͡s	ˈsɨt͡s		
rědъkъ	upper_sorbian	rědki	ˈʀʲɪtkʲi	ˈʀʲɪtkʲi		
bèrmę	upper_sorbian	brěmjo	ˈbʀʲɪmʲo	ˈbʀʲɪmʲɔ		
brodìti	upper_sorbian	brodźić	ˈbʀodʑit͡ʃ	ˈbʀɔd͡ʒit͡ʃ		
pěsъ̀kъ	upper_sorbian	pěsk	pʲɪsk	ˈpʲɪsk		
etì	upper_sorbian	jebać	ˈjɛbat͡ʃ	ˈjɛbat͡ʃ		
mȇdъ	upper_sorbian	měd	mʲɪt	ˈmʲɪt		
olni	upper_sorbian	ɫoni	ˈwonʲi	ˈwɔnʲi	!	USo loni
sě̄dló	upper_sorbian	sydɫo	ˈsɨdwo	ˈsɨdwɔ		
òrmo	upper_sorbian	ramjo	ˈʀamʲo	ˈʀamʲɔ		
pręsti	upper_sorbian	přasć	pʃast͡ʃ	ˈpʃast͡ʃ		
stornà	upper_sorbian	strona	ˈstʀona	ˈstʀɔna		
gojiti	upper_sorbian	hójić	ˈxʊjit͡ʃ	ˈhʊjit͡ʃ	!	USo hojić
čьrvь	upper_sorbian	čerw	t͡ʃɛʀ	t͡ʃɛɐ̯		
cě̄và	upper_sorbian	cywa	ˈt͡sɨwa	ˈt͡sɨwa		
gorno	upper_sorbian	hrono	ˈʀono	ˈʀonɔ		
dȏmъ	upper_sorbian	dom	dom	ˈdom		
solvьjь	upper_sorbian	syɫobik	ˈsɨwobʲik	ˈsɨwobʲik		
teplъ	upper_sorbian	ćopɫy	ˈtopwɨ	ˈtopwɨ		
bliskati	upper_sorbian	bɫyskać	ˈbwɨskatɕ	ˈbɨskat͡ʃ		
čьxati	upper_sorbian	čichać	ˈt͡ʃixaɕ	ˈt͡ʃixat͡ʃ		
vȏzъ	upper_sorbian	wóz	wʊs	ˈwʊs		
edъvà	upper_sorbian	lědma	ˈlʲɪdma	ˈlʲɪdma		
bràtъ	upper_sorbian	bratr	bʀatʀ	ˈbʀat		
nȅbo	upper_sorbian	njebjo	ˈnʲɛbʲo	ˈnebʲɔ		
žьlna	upper_sorbian	žoɫma	ˈʒowma	ˈʒoma		
teti	upper_sorbian	ćepać	ˈt͡ʃɛpat͡ʃ	ˈt͡ʃɛpat͡ʃ		
vỳgъn̨a	upper_sorbian	wuheń	ˈulʲen	ˈwuhɛn		
būčàti	upper_sorbian	bučeć	ˈbut͡ʃɛt͡ʃ	ˈbut͡ʃɛt͡ʃ		
borzdà	upper_sorbian	brózda	ˈbʀʊzda	ˈbʀʊzda		
gȏlsъ	upper_sorbian	hɫós	wʊs	ˈwʊs		
gȏrdъ	upper_sorbian	hród	ʀʊt	ˈʀʊt		
sě̀verъ	upper_sorbian	sowjer	ˈsovʲɛɐ	ˈsowʲɛɐ̯		
nuriti	upper_sorbian	nurić	ˈnuʀʲit͡ʃ	ˈnuʀʲit͡ʃ		
