erębъkъ	slovak	jerab	ˈjɛrap	ˈjɛrap	
krotiti	slovak	krotiť	ˈkrɔcic	ˈkrɔcic	
nȇrstъ	slovak	neres	ˈɲɛrɛs	ˈɲɛrɛs	
kùditi	slovak	kudiť	ˈkuɟic	ˈkuɟic	
těnь	slovak	tieň	ˈci̯ɛɲ	ˈci̯ɛɲ	
velkti	slovak	vliecť	ˈʋliet͡sc	ˈʋli̯ɛt͡sc	
ę̄drò	slovak	jadro	ˈjadrɔ	ˈjadrɔ	
vъtorъkъ	slovak	utorok	ˈutɔrɔk	ˈutɔrɔk	
gorno	slovak	hrana	ˈɦrana	ˈɦrana	
mě̑xъ	slovak	mech	ˈmɛx	ˈmɛx	
dérnъ	slovak	drieň	dri̯eɲ	dri̯ɛɲ	
topìti	slovak	topiť	ˈtɔpic	ˈtɔpic	
nǫ̀dja	slovak	núdza	ˈnuːd͡za	ˈnuːd͡za	
gnusьnъ	slovak	hnusný	ˈɦnusniː	ˈɦnusniː	
luskъ	slovak	lusk	ˈɫusk	ˈɫusk	
bъrtъ	slovak	brt	ˈbr̩t	ˈbr̩t	
rebrò	slovak	rebro	ˈrɛbrɔ	ˈrɛbrɔ	
melzti	slovak	mĺzť	ˈmɫ̩ːsc	ˈmɫ̩ːsc	
vě̑no	slovak	veno	ˈvɛnɔ	ˈʋɛnɔ	
gověti	slovak	hovieť	ˈɦovi̯ec	ˈɦoʋi̯ɛc	
ostrъ	slovak	ostrý	ˈɔstriː	ˈɔstriː	
stornà	slovak	strana	ˈstrana	ˈstrana	
bùr̨a	slovak	búra	ˈbuːra		
stòlъ	slovak	stôl	stu̯ɔɫ		
rỳdlo	slovak	rydlo	ˈridlo		
br̨ȗxo	slovak	brucho	ˈbruxɔ		
konьcь	slovak	koniec	ˈkɔɲi̯ɛt͡s		
drāpàti	slovak	driapať	ˈdri̯apac		
sȗxъ	slovak	suchý	ˈsuxiː		
osà	slovak	osa	ˈosa		
bъděti	slovak	bdieť	ˈbɟi̯ɛc		
kydati	slovak	kydať	ˈkidac		
protivo	slovak	proti	ˈprɔci		
kǫsati	slovak	kúsať	ˈkuːsac		
vòn̨ь	slovak	vôňe	ˈvʊ̯ɔɲɛ		
gnȗsъ	slovak	hnus	ɦnus		
sǫ́dъ	slovak	súd	ˈsuːt		
puxnǫti	slovak	puchnúť	ˈpuxnuːc		
rāčìti	slovak	ráčiť	ˈraːt͡ʃic		
medvě̀dь	slovak	medveď	ˈmɛdvɛc		
ju	slovak	už	uʒ		
elenь	slovak	jeleň	ˈjɛlɛɲ		
nadъ	slovak	nad(o)	ˈnadɔ		
zelènъ	slovak	zelený	ˈze̞ɫe̞niː		
koltiti	slovak	klátiť	ˈkɫaːcic		
pàmętь	slovak	pamäť	ˈpamɛc		
tỳsǫti	slovak	tisíc	ˈcisiːt͡s		
pjьvàti	slovak	pľuti	ˈpʎuci		
